datetime,location,volume,hour
2016-05-09 09:30:00,Queens,360,2016-05-09 09:00:00
2016-05-09 09:45:00,Queens,379,2016-05-09 09:00:00
2016-05-09 10:00:00,Queens,327,2016-05-09 10:00:00
2016-05-09 10:15:00,Queens,302,2016-05-09 10:00:00
2016-05-09 10:30:00,Queens,314,2016-05-09 10:00:00
2016-05-09 10:45:00,Queens,377,2016-05-09 10:00:00
2013-05-11 14:00:00,Queens,252,2013-05-11 14:00:00
2013-05-11 14:15:00,Queens,240,2013-05-11 14:00:00
2013-05-11 14:30:00,Queens,231,2013-05-11 14:00:00
2013-05-11 14:45:00,Queens,247,2013-05-11 14:00:00
2013-05-11 15:00:00,Queens,237,2013-05-11 15:00:00
2013-05-11 15:15:00,Queens,238,2013-05-11 15:00:00
2013-05-11 15:30:00,Queens,234,2013-05-11 15:00:00
2013-05-11 15:45:00,Queens,241,2013-05-11 15:00:00
2013-05-11 16:00:00,Queens,259,2013-05-11 16:00:00
2013-05-11 16:15:00,Queens,229,2013-05-11 16:00:00
2013-05-11 16:30:00,Queens,221,2013-05-11 16:00:00
2013-05-11 16:45:00,Queens,225,2013-05-11 16:00:00
2013-05-11 17:00:00,Queens,208,2013-05-11 17:00:00
2013-05-11 17:15:00,Queens,213,2013-05-11 17:00:00
2013-05-11 17:30:00,Queens,235,2013-05-11 17:00:00
2013-05-11 17:45:00,Queens,249,2013-05-11 17:00:00
2013-05-11 18:00:00,Queens,248,2013-05-11 18:00:00
2013-05-11 18:15:00,Queens,266,2013-05-11 18:00:00
2013-05-11 18:30:00,Queens,263,2013-05-11 18:00:00
2013-05-11 18:45:00,Queens,222,2013-05-11 18:00:00
2013-05-11 19:00:00,Queens,247,2013-05-11 19:00:00
2013-05-11 19:15:00,Queens,253,2013-05-11 19:00:00
2013-05-11 19:30:00,Queens,234,2013-05-11 19:00:00
2013-05-11 19:45:00,Queens,197,2013-05-11 19:00:00
2013-05-11 20:00:00,Queens,196,2013-05-11 20:00:00
2013-05-11 20:15:00,Queens,201,2013-05-11 20:00:00
2013-05-11 20:30:00,Queens,173,2013-05-11 20:00:00
2013-05-11 20:45:00,Queens,164,2013-05-11 20:00:00
2013-05-11 21:00:00,Queens,151,2013-05-11 21:00:00
2013-05-11 21:15:00,Queens,162,2013-05-11 21:00:00
2013-05-11 21:30:00,Queens,143,2013-05-11 21:00:00
2013-05-11 21:45:00,Queens,142,2013-05-11 21:00:00
2013-05-11 22:00:00,Queens,138,2013-05-11 22:00:00
2013-05-11 22:15:00,Queens,153,2013-05-11 22:00:00
2013-05-11 22:30:00,Queens,129,2013-05-11 22:00:00
2013-05-11 22:45:00,Queens,143,2013-05-11 22:00:00
2013-05-11 23:00:00,Queens,127,2013-05-11 23:00:00
2013-05-11 23:15:00,Queens,125,2013-05-11 23:00:00
2013-05-11 23:30:00,Queens,121,2013-05-11 23:00:00
2013-05-11 23:45:00,Queens,110,2013-05-11 23:00:00
2013-05-12 00:00:00,Queens,112,2013-05-12 00:00:00
2013-05-12 00:15:00,Queens,92,2013-05-12 00:00:00
2013-05-12 00:30:00,Queens,91,2013-05-12 00:00:00
2013-05-12 00:45:00,Queens,106,2013-05-12 00:00:00
2013-05-12 01:00:00,Queens,89,2013-05-12 01:00:00
2013-05-12 01:15:00,Queens,67,2013-05-12 01:00:00
2013-05-12 01:30:00,Queens,58,2013-05-12 01:00:00
2013-05-12 01:45:00,Queens,54,2013-05-12 01:00:00
2013-05-12 02:00:00,Queens,56,2013-05-12 02:00:00
2013-05-12 02:15:00,Queens,49,2013-05-12 02:00:00
2013-05-12 02:30:00,Queens,45,2013-05-12 02:00:00
2013-05-12 02:45:00,Queens,41,2013-05-12 02:00:00
2013-05-12 03:00:00,Queens,46,2013-05-12 03:00:00
2013-05-12 03:15:00,Queens,34,2013-05-12 03:00:00
2013-05-12 03:30:00,Queens,42,2013-05-12 03:00:00
2013-05-12 03:45:00,Queens,34,2013-05-12 03:00:00
2013-05-12 04:00:00,Queens,45,2013-05-12 04:00:00
2013-05-12 04:15:00,Queens,51,2013-05-12 04:00:00
2013-05-12 04:30:00,Queens,35,2013-05-12 04:00:00
2013-05-12 04:45:00,Queens,38,2013-05-12 04:00:00
2013-05-12 05:00:00,Queens,36,2013-05-12 05:00:00
2013-05-12 05:15:00,Queens,41,2013-05-12 05:00:00
2013-05-12 05:30:00,Queens,27,2013-05-12 05:00:00
2013-05-12 05:45:00,Queens,36,2013-05-12 05:00:00
2013-05-12 06:00:00,Queens,43,2013-05-12 06:00:00
2013-05-12 06:15:00,Queens,43,2013-05-12 06:00:00
2013-05-12 06:30:00,Queens,73,2013-05-12 06:00:00
2013-05-12 06:45:00,Queens,75,2013-05-12 06:00:00
2013-05-12 07:00:00,Queens,65,2013-05-12 07:00:00
2013-05-12 07:15:00,Queens,75,2013-05-12 07:00:00
2013-05-12 07:30:00,Queens,85,2013-05-12 07:00:00
2013-05-12 07:45:00,Queens,89,2013-05-12 07:00:00
2013-05-12 08:00:00,Queens,106,2013-05-12 08:00:00
2013-05-12 08:15:00,Queens,126,2013-05-12 08:00:00
2013-05-12 08:30:00,Queens,121,2013-05-12 08:00:00
2013-05-12 08:45:00,Queens,146,2013-05-12 08:00:00
2013-05-12 09:00:00,Queens,147,2013-05-12 09:00:00
2013-05-12 09:15:00,Queens,157,2013-05-12 09:00:00
2013-05-12 09:30:00,Queens,150,2013-05-12 09:00:00
2013-05-12 09:45:00,Queens,165,2013-05-12 09:00:00
2013-05-12 10:00:00,Queens,182,2013-05-12 10:00:00
2013-05-12 10:15:00,Queens,192,2013-05-12 10:00:00
2013-05-12 10:30:00,Queens,190,2013-05-12 10:00:00
2013-05-12 10:45:00,Queens,204,2013-05-12 10:00:00
2013-05-12 11:00:00,Queens,205,2013-05-12 11:00:00
2013-05-12 11:15:00,Queens,239,2013-05-12 11:00:00
2013-05-12 11:30:00,Queens,191,2013-05-12 11:00:00
2013-05-12 11:45:00,Queens,213,2013-05-12 11:00:00
2013-05-12 12:00:00,Queens,205,2013-05-12 12:00:00
2013-05-12 12:15:00,Queens,231,2013-05-12 12:00:00
2013-05-12 12:30:00,Queens,203,2013-05-12 12:00:00
2013-05-12 12:45:00,Queens,221,2013-05-12 12:00:00
2013-05-12 13:00:00,Queens,188,2013-05-12 13:00:00
2013-05-12 13:15:00,Queens,187,2013-05-12 13:00:00
2013-05-12 13:30:00,Queens,225,2013-05-12 13:00:00
2013-05-12 13:45:00,Queens,243,2013-05-12 13:00:00
2013-05-12 14:00:00,Queens,214,2013-05-12 14:00:00
2013-05-12 14:15:00,Queens,253,2013-05-12 14:00:00
2013-05-12 14:30:00,Queens,259,2013-05-12 14:00:00
2013-05-12 14:45:00,Queens,268,2013-05-12 14:00:00
2013-05-12 15:00:00,Queens,269,2013-05-12 15:00:00
2013-05-12 15:15:00,Queens,254,2013-05-12 15:00:00
2013-05-12 15:30:00,Queens,269,2013-05-12 15:00:00
2013-05-12 15:45:00,Queens,240,2013-05-12 15:00:00
2013-05-12 16:00:00,Queens,225,2013-05-12 16:00:00
2023-01-14 12:00:00,Brooklyn,197,2023-01-14 12:00:00
2023-01-14 12:15:00,Brooklyn,233,2023-01-14 12:00:00
2023-01-14 12:30:00,Brooklyn,213,2023-01-14 12:00:00
2023-01-14 12:45:00,Brooklyn,187,2023-01-14 12:00:00
2023-01-14 13:00:00,Brooklyn,192,2023-01-14 13:00:00
2023-01-14 13:15:00,Brooklyn,217,2023-01-14 13:00:00
2023-01-14 13:30:00,Brooklyn,202,2023-01-14 13:00:00
2023-01-14 13:45:00,Brooklyn,231,2023-01-14 13:00:00
2023-01-14 14:00:00,Brooklyn,217,2023-01-14 14:00:00
2023-01-14 14:15:00,Brooklyn,202,2023-01-14 14:00:00
2023-01-14 14:30:00,Brooklyn,223,2023-01-14 14:00:00
2023-01-14 14:45:00,Brooklyn,249,2023-01-14 14:00:00
2023-01-14 15:00:00,Brooklyn,227,2023-01-14 15:00:00
2023-01-14 15:15:00,Brooklyn,243,2023-01-14 15:00:00
2023-01-14 15:30:00,Brooklyn,223,2023-01-14 15:00:00
2023-01-14 15:45:00,Brooklyn,244,2023-01-14 15:00:00
2023-01-14 16:00:00,Brooklyn,241,2023-01-14 16:00:00
2023-01-14 16:15:00,Brooklyn,240,2023-01-14 16:00:00
2023-01-14 16:30:00,Brooklyn,234,2023-01-14 16:00:00
2023-01-14 16:45:00,Brooklyn,245,2023-01-14 16:00:00
2023-01-14 17:00:00,Brooklyn,202,2023-01-14 17:00:00
2023-01-14 17:15:00,Brooklyn,234,2023-01-14 17:00:00
2023-01-14 17:30:00,Brooklyn,218,2023-01-14 17:00:00
2023-01-14 17:45:00,Brooklyn,225,2023-01-14 17:00:00
2023-01-14 18:00:00,Brooklyn,220,2023-01-14 18:00:00
2023-01-14 18:15:00,Brooklyn,229,2023-01-14 18:00:00
2023-01-14 18:30:00,Brooklyn,217,2023-01-14 18:00:00
2023-01-14 18:45:00,Brooklyn,197,2023-01-14 18:00:00
2023-01-14 19:00:00,Brooklyn,198,2023-01-14 19:00:00
2023-01-14 19:15:00,Brooklyn,235,2023-01-14 19:00:00
2023-01-14 19:30:00,Brooklyn,201,2023-01-14 19:00:00
2023-01-14 19:45:00,Brooklyn,214,2023-01-14 19:00:00
2023-01-14 20:00:00,Brooklyn,212,2023-01-14 20:00:00
2023-01-14 20:15:00,Brooklyn,241,2023-01-14 20:00:00
2023-01-14 20:30:00,Brooklyn,207,2023-01-14 20:00:00
2023-01-14 20:45:00,Brooklyn,191,2023-01-14 20:00:00
2023-01-14 21:00:00,Brooklyn,181,2023-01-14 21:00:00
2023-01-14 21:15:00,Brooklyn,203,2023-01-14 21:00:00
2023-01-14 21:30:00,Brooklyn,172,2023-01-14 21:00:00
2023-01-14 21:45:00,Brooklyn,165,2023-01-14 21:00:00
2023-01-14 22:00:00,Brooklyn,148,2023-01-14 22:00:00
2023-01-14 22:15:00,Brooklyn,176,2023-01-14 22:00:00
2023-01-14 22:30:00,Brooklyn,132,2023-01-14 22:00:00
2023-01-14 22:45:00,Brooklyn,148,2023-01-14 22:00:00
2023-01-14 23:00:00,Brooklyn,155,2023-01-14 23:00:00
2023-01-14 23:15:00,Brooklyn,140,2023-01-14 23:00:00
2023-01-14 23:30:00,Brooklyn,121,2023-01-14 23:00:00
2023-01-14 23:45:00,Brooklyn,125,2023-01-14 23:00:00
2012-05-19 09:30:00,Brooklyn,369,2012-05-19 09:00:00
2012-05-19 09:45:00,Brooklyn,382,2012-05-19 09:00:00
2012-05-19 10:00:00,Brooklyn,392,2012-05-19 10:00:00
2018-04-12 07:30:00,Queens,483,2018-04-12 07:00:00
2018-04-12 07:45:00,Queens,443,2018-04-12 07:00:00
2018-04-12 08:00:00,Queens,499,2018-04-12 08:00:00
2018-04-12 08:15:00,Queens,457,2018-04-12 08:00:00
2018-04-12 08:30:00,Queens,514,2018-04-12 08:00:00
2018-04-12 08:45:00,Queens,417,2018-04-12 08:00:00
2013-11-12 15:30:00,Queens,145,2013-11-12 15:00:00
2013-11-12 15:45:00,Queens,151,2013-11-12 15:00:00
2013-11-12 16:00:00,Queens,151,2013-11-12 16:00:00
2013-11-12 16:15:00,Queens,169,2013-11-12 16:00:00
2013-11-12 16:30:00,Queens,137,2013-11-12 16:00:00
2013-11-12 16:45:00,Queens,132,2013-11-12 16:00:00
2013-11-12 17:00:00,Queens,145,2013-11-12 17:00:00
2013-11-12 17:15:00,Queens,151,2013-11-12 17:00:00
2013-11-12 17:30:00,Queens,126,2013-11-12 17:00:00
2013-11-12 17:45:00,Queens,152,2013-11-12 17:00:00
2013-11-12 18:00:00,Queens,123,2013-11-12 18:00:00
2013-11-12 18:15:00,Queens,124,2013-11-12 18:00:00
2013-11-12 18:30:00,Queens,97,2013-11-12 18:00:00
2013-11-12 18:45:00,Queens,107,2013-11-12 18:00:00
2013-11-12 19:00:00,Queens,94,2013-11-12 19:00:00
2013-11-12 19:15:00,Queens,110,2013-11-12 19:00:00
2013-11-12 19:30:00,Queens,77,2013-11-12 19:00:00
2013-11-12 19:45:00,Queens,57,2013-11-12 19:00:00
2013-11-12 20:00:00,Queens,50,2013-11-12 20:00:00
2013-11-12 20:15:00,Queens,39,2013-11-12 20:00:00
2013-11-12 20:30:00,Queens,42,2013-11-12 20:00:00
2013-11-12 20:45:00,Queens,45,2013-11-12 20:00:00
2013-11-12 21:00:00,Queens,43,2013-11-12 21:00:00
2013-11-12 21:15:00,Queens,32,2013-11-12 21:00:00
2013-11-12 21:30:00,Queens,28,2013-11-12 21:00:00
2013-11-12 21:45:00,Queens,36,2013-11-12 21:00:00
2013-11-12 22:00:00,Queens,21,2013-11-12 22:00:00
2013-11-12 22:15:00,Queens,26,2013-11-12 22:00:00
2013-11-12 22:30:00,Queens,26,2013-11-12 22:00:00
2013-11-12 22:45:00,Queens,26,2013-11-12 22:00:00
2013-11-12 23:00:00,Queens,15,2013-11-12 23:00:00
2013-11-12 23:15:00,Queens,11,2013-11-12 23:00:00
2013-11-12 23:30:00,Queens,19,2013-11-12 23:00:00
2013-11-12 23:45:00,Queens,9,2013-11-12 23:00:00
2013-11-13 00:00:00,Queens,8,2013-11-13 00:00:00
2013-11-13 00:15:00,Queens,6,2013-11-13 00:00:00
2013-11-13 00:30:00,Queens,12,2013-11-13 00:00:00
2013-11-13 00:45:00,Queens,7,2013-11-13 00:00:00
2013-11-13 01:00:00,Queens,8,2013-11-13 01:00:00
2013-11-13 01:15:00,Queens,2,2013-11-13 01:00:00
2013-11-13 01:30:00,Queens,3,2013-11-13 01:00:00
2013-11-13 01:45:00,Queens,3,2013-11-13 01:00:00
2013-11-13 02:00:00,Queens,4,2013-11-13 02:00:00
2013-11-13 02:15:00,Queens,2,2013-11-13 02:00:00
2013-11-13 02:30:00,Queens,4,2013-11-13 02:00:00
2013-11-13 02:45:00,Queens,3,2013-11-13 02:00:00
2013-11-13 03:00:00,Queens,2,2013-11-13 03:00:00
2013-11-13 03:15:00,Queens,7,2013-11-13 03:00:00
2025-06-16 19:45:00,Brooklyn,252,2025-06-16 19:00:00
2025-06-16 20:00:00,Brooklyn,204,2025-06-16 20:00:00
2025-06-16 20:15:00,Brooklyn,257,2025-06-16 20:00:00
2025-06-16 20:30:00,Brooklyn,179,2025-06-16 20:00:00
2025-06-16 20:45:00,Brooklyn,192,2025-06-16 20:00:00
2025-06-16 21:00:00,Brooklyn,178,2025-06-16 21:00:00
2025-06-16 21:15:00,Brooklyn,187,2025-06-16 21:00:00
2025-06-16 21:30:00,Brooklyn,212,2025-06-16 21:00:00
2025-06-16 21:45:00,Brooklyn,188,2025-06-16 21:00:00
2025-06-16 22:00:00,Brooklyn,237,2025-06-16 22:00:00
