requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
7302,Manhattan,2010,5,20,2,15,67,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,2,30,61,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,2,45,55,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,3,0,56,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,3,15,40,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,3,30,43,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,3,45,42,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,4,0,44,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,4,15,34,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,4,30,31,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,4,45,24,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,5,0,41,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,5,15,45,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,5,30,65,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,5,45,58,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,6,0,76,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,6,15,91,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,6,30,103,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,6,45,152,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,7,0,162,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,7,15,177,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,7,30,186,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,7,45,165,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,8,0,186,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,8,15,197,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,8,30,216,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,8,45,217,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,9,0,209,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,9,15,219,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,9,30,233,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,9,45,236,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
7302,Manhattan,2010,5,20,10,0,234,138570,POINT (987283.4 207568.9),N/B UNION SQUARE EAST @ E 17 ST,E 17 ST/PARK AV S,E 16 ST,NB
36190,Brooklyn,2023,5,6,3,15,60,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,3,30,62,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,3,45,88,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
